Model,Dataset,Method,Alpha,Alpha K,Alpha S,K,Validity,Prob. Plaus.,Log Dens.,L1,L2
LR,Blobs,GCE,1000,1000,100,1.67,1.0,0.94,2.8,0.7,0.5
LR,Blobs,GCE,1000,1000,1000,4.33,1.0,0.92,2.92,0.74,0.53
LR,Law,GCE,1,1,1,7.0,1.0,0.86,1.69,0.33,0.21
LR,Law,GCE,1,1,10,22.0,1.0,0.87,1.67,0.33,0.2
LR,Law,GCE,1,1,100,69.0,1.0,0.94,1.7,0.32,0.2
LR,Law,GCE,1,1,1000,120.0,1.0,0.95,1.7,0.3,0.19
LR,Law,GCE,1,10,1,3.0,0.99,0.85,1.61,0.32,0.19
LR,Law,GCE,1,10,10,6.0,1.0,0.83,1.57,0.32,0.19
LR,Law,GCE,1,10,100,20.0,1.0,0.84,1.62,0.33,0.2
LR,Law,GCE,1,10,1000,73.0,1.0,0.91,1.66,0.31,0.2
LR,Law,GCE,1,100,1,2.0,0.99,0.86,1.59,0.32,0.19
LR,Law,GCE,1,100,10,3.0,1.0,0.83,1.55,0.32,0.19
LR,Law,GCE,1,100,100,6.0,0.99,0.87,1.63,0.32,0.19
LR,Law,GCE,1,100,1000,20.0,1.0,0.83,1.63,0.32,0.2
LR,Law,GCE,1,1000,1,2.0,0.99,0.8,1.57,0.32,0.19
LR,Law,GCE,1,1000,10,2.0,0.99,0.84,1.58,0.32,0.19
LR,Law,GCE,1,1000,100,3.0,1.0,0.86,1.56,0.32,0.19
LR,Law,GCE,1,1000,1000,6.0,1.0,0.86,1.6,0.33,0.2
LR,Law,GCE,10,1,1,17.0,1.0,0.99,1.8,0.33,0.2
LR,Law,GCE,10,1,10,40.0,1.0,0.99,1.8,0.31,0.19
LR,Law,GCE,10,1,100,67.0,1.0,1.0,1.79,0.32,0.2
LR,Law,GCE,10,1,1000,106.0,1.0,0.98,1.78,0.31,0.19
LR,Law,GCE,10,10,1,5.0,1.0,0.88,1.73,0.34,0.21
LR,Law,GCE,10,10,10,8.0,1.0,0.91,1.69,0.36,0.22
LR,Law,GCE,10,10,100,22.0,1.0,0.92,1.7,0.34,0.21
LR,Law,GCE,10,10,1000,66.0,1.0,0.94,1.76,0.32,0.2
LR,Law,GCE,10,100,1,2.0,0.99,0.85,1.63,0.33,0.19
LR,Law,GCE,10,100,10,3.0,0.99,0.86,1.62,0.33,0.2
LR,Law,GCE,10,100,100,6.0,0.99,0.85,1.63,0.33,0.2
LR,Law,GCE,10,100,1000,23.0,1.0,0.86,1.64,0.34,0.21
LR,Law,GCE,10,1000,1,2.0,0.99,0.85,1.63,0.33,0.19
LR,Law,GCE,10,1000,10,2.0,0.99,0.84,1.62,0.33,0.19
LR,Law,GCE,10,1000,100,3.0,0.99,0.86,1.67,0.34,0.2
LR,Law,GCE,10,1000,1000,7.0,0.99,0.86,1.59,0.34,0.2
LR,Law,GCE,100,1,1,20.0,1.0,1.0,1.92,0.36,0.22
LR,Law,GCE,100,1,10,41.0,1.0,1.0,1.93,0.34,0.2
LR,Law,GCE,100,1,100,62.0,1.0,1.0,2.01,0.35,0.22
LR,Law,GCE,100,1,1000,93.0,1.0,1.0,2.01,0.36,0.22
LR,Law,GCE,100,10,1,9.0,1.0,0.99,1.86,0.39,0.24
LR,Law,GCE,100,10,10,15.0,1.0,1.0,1.89,0.37,0.22
LR,Law,GCE,100,10,100,42.0,1.0,0.99,1.97,0.36,0.22
LR,Law,GCE,100,10,1000,61.0,1.0,1.0,1.96,0.35,0.21
LR,Law,GCE,100,100,1,3.0,1.0,0.88,1.68,0.37,0.22
LR,Law,GCE,100,100,10,4.0,1.0,0.89,2.02,0.39,0.25
LR,Law,GCE,100,100,100,7.0,1.0,0.89,1.73,0.38,0.23
LR,Law,GCE,100,100,1000,19.0,1.0,0.9,1.81,0.38,0.24
LR,Law,GCE,100,1000,1,2.0,0.99,0.84,1.67,0.34,0.2
LR,Law,GCE,100,1000,10,2.0,0.99,0.85,1.67,0.34,0.2
LR,Law,GCE,100,1000,100,3.0,0.99,0.86,1.7,0.34,0.2
LR,Law,GCE,100,1000,1000,8.0,1.0,0.86,1.68,0.35,0.21
LR,Law,GCE,1000,1,1,25.0,1.0,1.0,2.15,0.41,0.25
LR,Law,GCE,1000,1,10,44.0,1.0,1.0,2.2,0.49,0.29
LR,Law,GCE,1000,1,100,73.0,1.0,1.0,2.17,0.4,0.24
LR,Law,GCE,1000,1,1000,74.0,1.0,1.0,2.21,0.43,0.26
LR,Law,GCE,1000,10,1,12.0,1.0,1.0,2.16,0.55,0.33
LR,Law,GCE,1000,10,10,25.0,1.0,1.0,2.16,0.42,0.25
LR,Law,GCE,1000,10,100,42.0,1.0,1.0,2.22,0.43,0.26
LR,Law,GCE,1000,10,1000,,,,,,
LR,Law,GCE,1000,100,1,7.0,1.0,0.98,1.92,0.41,0.24
LR,Law,GCE,1000,100,10,8.0,1.0,1.0,1.97,0.39,0.23
LR,Law,GCE,1000,100,100,15.0,1.0,1.0,1.96,0.42,0.25
LR,Law,GCE,1000,1000,1,3.0,1.0,0.94,1.86,0.41,0.25
LR,Law,GCE,1000,1000,10,3.0,1.0,0.91,1.77,0.42,0.25
LR,Law,GCE,1000,1000,100,4.0,1.0,0.92,1.83,0.39,0.23
LR,Moons,GCE,1,1,1,5.5,1.0,0.7,0.85,0.5,0.37
LR,Moons,GCE,1,1,10,17.0,0.98,0.78,0.85,0.5,0.36
LR,Moons,GCE,1,1,100,35.0,0.97,0.72,0.81,0.48,0.35
LR,Moons,GCE,1,1,1000,60.0,0.97,0.83,0.86,0.45,0.34
LR,Moons,GCE,1,10,1,1.5,0.9,0.71,0.65,0.51,0.37
LR,Moons,GCE,1,10,10,4.5,0.9,0.64,0.64,0.51,0.37
LR,Moons,GCE,1,10,100,13.0,0.93,0.6,0.67,0.51,0.37
LR,Moons,GCE,1,10,1000,43.5,0.96,0.66,0.79,0.47,0.34
LR,Moons,GCE,1,100,1,1.0,0.9,0.68,0.6,0.51,0.36
LR,Moons,GCE,1,100,10,1.0,0.89,0.56,0.6,0.51,0.36
LR,Moons,GCE,1,100,100,4.0,0.92,0.49,0.6,0.51,0.36
LR,Moons,GCE,1,100,1000,15.5,0.9,0.6,0.65,0.49,0.36
LR,Moons,GCE,1,1000,1,1.0,0.9,0.64,0.6,0.51,0.36
LR,Moons,GCE,1,1000,10,1.0,0.9,0.62,0.61,0.51,0.36
LR,Moons,GCE,1,1000,100,1.0,0.9,0.7,0.61,0.51,0.36
LR,Moons,GCE,1,1000,1000,5.5,0.9,0.59,0.62,0.51,0.36
LR,Moons,GCE,10,1,1,15.0,1.0,0.96,0.92,0.49,0.36
LR,Moons,GCE,10,1,10,23.0,1.0,0.94,0.9,0.47,0.35
LR,Moons,GCE,10,1,100,34.0,1.0,0.92,0.91,0.5,0.36
LR,Moons,GCE,10,1,1000,52.0,0.99,0.93,0.9,0.48,0.35
LR,Moons,GCE,10,10,1,3.0,1.0,0.92,0.95,0.55,0.4
LR,Moons,GCE,10,10,10,8.0,0.98,0.9,0.92,0.52,0.38
LR,Moons,GCE,10,10,100,18.0,0.98,0.91,0.9,0.5,0.37
LR,Moons,GCE,10,10,1000,39.0,0.98,0.85,0.86,0.5,0.36
LR,Moons,GCE,10,100,1,1.0,0.89,0.66,0.63,0.53,0.38
LR,Moons,GCE,10,100,10,1.5,0.91,0.65,0.66,0.53,0.38
LR,Moons,GCE,10,100,100,5.0,0.94,0.75,0.71,0.52,0.38
LR,Moons,GCE,10,100,1000,14.0,0.95,0.75,0.76,0.54,0.39
LR,Moons,GCE,10,1000,1,1.0,0.91,0.65,0.62,0.53,0.38
LR,Moons,GCE,10,1000,10,1.0,0.9,0.63,0.61,0.53,0.38
LR,Moons,GCE,10,1000,100,1.0,0.92,0.65,0.63,0.53,0.38
LR,Moons,GCE,10,1000,1000,5.0,0.89,0.64,0.63,0.53,0.38
LR,Moons,GCE,100,1,1,18.0,1.0,1.0,0.99,0.5,0.37
LR,Moons,GCE,100,1,10,24.0,1.0,1.0,0.98,0.49,0.35
LR,Moons,GCE,100,1,100,33.5,1.0,0.98,0.99,0.5,0.37
LR,Moons,GCE,100,1,1000,38.5,0.98,0.94,1.01,0.53,0.39
LR,Moons,GCE,100,10,1,6.5,1.0,0.95,1.03,0.55,0.4
LR,Moons,GCE,100,10,10,12.5,1.0,0.96,1.03,0.52,0.39
LR,Moons,GCE,100,10,100,23.5,1.0,0.97,1.01,0.51,0.38
LR,Moons,GCE,100,10,1000,35.0,0.99,0.94,1.05,0.53,0.39
LR,Moons,GCE,100,100,1,3.5,1.0,0.85,1.0,0.58,0.42
LR,Moons,GCE,100,100,10,4.5,1.0,0.96,1.05,0.58,0.42
LR,Moons,GCE,100,100,100,6.0,0.99,0.87,1.02,0.57,0.42
LR,Moons,GCE,100,100,1000,14.5,0.97,0.88,1.05,0.57,0.41
LR,Moons,GCE,100,1000,1,1.5,0.9,0.67,0.7,0.55,0.4
LR,Moons,GCE,100,1000,10,1.0,0.91,0.63,0.7,0.56,0.4
LR,Moons,GCE,100,1000,100,1.5,0.92,0.66,0.71,0.55,0.39
LR,Moons,GCE,100,1000,1000,4.0,0.92,0.67,0.71,0.55,0.39
LR,Moons,GCE,1000,1,1,16.5,1.0,0.99,1.11,0.54,0.4
LR,Moons,GCE,1000,1,10,27.0,1.0,1.0,1.12,0.52,0.39
LR,Moons,GCE,1000,1,100,29.5,1.0,0.98,1.14,0.55,0.4
