dataset,disc_model,method,K_vectors,validity,prob_plausibility,cf_belongs_to_group,log_density_cf,proximity_continuous_manhattan,proximity_continuous_euclidean,isolation_forest_scores_cf,lof_scores_cf,time,coverage,actionability,sparsity,proximity_categorical_hamming,proximity_categorical_jaccard,proximity_continuous_mad,proximity_l2_jaccard,proximity_mad_hamming,log_density_test,lof_scores_test,isolation_forest_scores_test
BlobsDataset,MultinomialLogisticRegression,wach,,0.9494949494949496,0.0,,-9.588301,0.4234050626450397,0.4213784449452396,-0.1054712546638225,3.159654854080225,317.7857491970062,0.99,0.0,1.0,,0.4213784449452396,1.944529203730314,0.4213784449452396,,2.5407178,1.0960554,0.0284523437419407
BlobsDataset,MultinomialLogisticRegression,wach,,0.8712871287128713,0.0,,-5.994547,0.3777607428756627,0.3773657923824688,-0.1069643357982941,3.111448,302.0553448200226,1.0,0.0,1.0,,0.3773657923824688,1.746518701314926,0.3773657923824688,,2.7211676,1.0885196,0.023766338286785
BlobsDataset,MultinomialLogisticRegression,wach,,0.8811881188118812,0.0,,-5.8971953,0.4194544305962123,0.4190666057496773,-0.1035122124614336,3.20093,353.9533293247223,1.0,0.0,1.0,,0.4190666057496773,1.893483280465844,0.4190666057496773,,2.786041,1.0560058,0.0318013871502905
BlobsDataset,MultinomialLogisticRegression,wach,,0.8979591836734694,0.0,,-6.8861527,0.3989048264920711,0.3986532484745715,-0.0967466349454342,3.3073531502404374,422.60655903816223,0.98,0.0,1.0,,0.3986532484745715,1.8549195372116527,0.3986532484745715,,2.7442076,1.0786119,0.0283678303815844
BlobsDataset,MultinomialLogisticRegression,wach,,0.9,0.0,,-5.932143,0.4173843337429894,0.4169887930337926,-0.1034102722026098,3.0021362,336.33993887901306,1.0,0.0,1.0,,0.4169887930337926,1.9486587365468344,0.4169887930337926,,2.6506305,1.0999731,0.0219324168393261
BlobsDataset,MultinomialLogisticRegression,Artelt,,1.0,0.0,,-6.0306916,0.3020907449852753,0.2914837252056978,-0.0674983276553169,2.1738935049350614,5.02987003326416,1.0,0.0,1.0,,0.2914837252056978,1.3754517260527013,0.2914837252056978,,2.4794314,1.1009139,0.0254615165755595
BlobsDataset,MultinomialLogisticRegression,Artelt,,1.0,0.0,,-4.959886,0.281412457379576,0.2499713670873013,-0.061248216740289,1.8351502232583587,3.00635313987732,1.0,0.0,1.0,,0.2499713670873013,1.2726515554896476,0.2499713670873013,,2.5416222,1.1204797,0.0174910374499529
BlobsDataset,MultinomialLogisticRegression,Artelt,,1.0,0.0,,-5.429819,0.3088187092383587,0.2875925798955915,-0.0622077450736613,2.199446188592483,3.053788185119629,1.0,0.0,1.0,,0.2875925798955915,1.380336943282453,0.2875925798955915,,2.7165482,1.063162,0.0268270126153895
BlobsDataset,MultinomialLogisticRegression,Artelt,,1.0,0.0,,-2.6955726,0.2928646226737142,0.2503106410241269,-0.0626372517891499,1.482926012928199,3.059123992919922,1.0,0.0,1.0,,0.2503106410241269,1.322933138137916,0.2503106410241269,,2.6043155,1.1100901,0.0221119696884018
BlobsDataset,MultinomialLogisticRegression,Artelt,,1.0,0.0,,-4.2133064,0.3054744785696101,0.2700043591234214,-0.0537534487462291,1.7041044382025117,2.952799797058105,1.0,0.0,1.0,,0.2700043591234214,1.3952618799217107,0.2700043591234214,,2.5615635,1.1123185,0.0171465100381173
BlobsDataset,MultinomialLogisticRegression,DiCE,,1.0,0.07,,-5.689566,0.5794986569415778,0.4884916698128037,-0.0896285004321938,2.6832220792805708,8.876611232757568,1.0,0.0,0.79,,0.4884916698128037,2.4055082541734434,0.4884916698128037,,2.4794314,1.1009139,0.0254615165755595
BlobsDataset,MultinomialLogisticRegression,DiCE,,1.0,0.0693069306930693,,-8.005389,0.5916477993066137,0.4990542635420084,-0.1065011167573649,2.9962121331643465,17.04680609703064,1.0,0.0,0.7673267326732673,,0.4990542635420084,2.5609768815670195,0.4990542635420084,,2.5416222,1.1204797,0.0174910374499529
BlobsDataset,MultinomialLogisticRegression,DiCE,,1.0,0.0594059405940594,,-6.2002177,0.5538534764200449,0.4724309499786938,-0.0891935252204367,2.882096893052737,13.88353705406189,1.0,0.0,0.7722772277227723,,0.4724309499786938,2.383275416171557,0.4724309499786938,,2.7165482,1.063162,0.0268270126153895
BlobsDataset,MultinomialLogisticRegression,DiCE,,1.0,0.04,,-6.745604,0.581542979888618,0.4849848410471267,-0.1040865480692799,2.884890575441421,14.438740253448486,1.0,0.0,0.785,,0.4849848410471267,2.5252127990040605,0.4849848410471267,,2.6043155,1.1100901,0.0221119696884018
BlobsDataset,MultinomialLogisticRegression,DiCE,,1.0,0.02,,-6.516787,0.6271592455497011,0.5177751126915295,-0.1021260972133826,2.8173163448872867,9.025170803070068,1.0,0.0,0.795,,0.5177751126915295,2.7482736401171515,0.5177751126915295,,2.5615635,1.1123185,0.0171465100381173
BlobsDataset,MultinomialLogisticRegression,RPPCEF_LOCAL,100,1.0,1.0,1.0,2.9610462,0.6222699502110481,0.4410191774873797,0.0459325930409626,1.0151403,6.824275016784668,1.0,0.0,1.0,,0.4410191774873797,2.534241405725479,0.4410191774873797,,2.4794314,1.1009139,0.0254615165755595
BlobsDataset,MultinomialLogisticRegression,RPPCEF_LOCAL,101,1.0,1.0,1.0,3.0374653,0.5696114704455479,0.4044885790123221,0.0448863026425157,1.0260563,6.803620100021362,1.0,0.0,1.0,,0.4044885790123221,2.4366700495823777,0.4044885790123221,,2.5416222,1.1204797,0.0174910374499529
BlobsDataset,MultinomialLogisticRegression,RPPCEF_LOCAL,101,1.0,1.0,1.0,3.0939512,0.611568431748022,0.4339270490198467,0.0321895070266043,1.0276185,6.403414011001587,1.0,0.0,1.0,,0.4339270490198467,2.594819600039189,0.4339270490198467,,2.7165482,1.063162,0.0268270126153895
BlobsDataset,MultinomialLogisticRegression,RPPCEF_LOCAL,100,1.0,1.0,1.0,2.9559152,0.6422315980494022,0.4553609915883909,0.0283071055032024,1.0412554,6.436286926269531,1.0,0.0,1.0,,0.4553609915883909,2.762122712135315,0.4553609915883909,,2.6043155,1.1100901,0.0221119696884018
BlobsDataset,MultinomialLogisticRegression,RPPCEF_LOCAL,100,1.0,1.0,1.0,2.9782734,0.7035892167687416,0.5006575960851073,0.0303364065180882,1.0376168,6.321773052215576,1.0,0.0,1.0,,0.5006575960851073,3.052874248027801,0.5006575960851073,,2.5615635,1.1123185,0.0171465100381173
