model_returned_smth,valid_cf_disc,dissimilarity_proximity_categorical_hamming,dissimilarity_proximity_categorical_jaccard,dissimilarity_proximity_continuous_manhatan,dissimilarity_proximity_continuous_euclidean,dissimilarity_proximity_continuous_mad,distance_l2_jaccard,distance_mad_hamming,sparsity,flow_log_density_cfs,flow_log_density_xs,flow_prob_condition_acc,lof_scores_xs,lof_scores_cfs,isolation_forest_scores_xs,isolation_forest_scores_cfs,time
1.0,tensor(1.),,0.0,0.365515476640533,0.36351796383789037,2.0874487398301853,0.36351796383789037,,1.0,-326062.34375,-1618.936279296875,0.19607843458652496,1.0393983,2.3560547791272253,0.0004266122988019526,-0.08620951982304294,3.201481342315674
1.0,tensor(1.),,0.0,0.27935579549340367,0.26929905748365185,1.3009904178076432,0.26929905748365185,,1.0,-22.611629486083984,-23.61484146118164,0.6990291476249695,1.0736533,1.3318865287002424,0.003229532514290294,-0.009871166936957965,3.1849188804626465
1.0,tensor(1.),,0.0,0.28682788674594817,0.26451067924839394,1.4096363355914496,0.26451067924839394,,1.0,-1.208084225654602,-6.986827850341797,0.8350515365600586,1.0579808,1.3401447913815825,0.001437538071085136,-0.01395161329667698,3.1757349967956543
1.0,tensor(1.),,0.0,0.3134994961175264,0.301339321348787,1.905959214942128,0.301339321348787,,1.0,-2.894010305404663,-197.73648071289062,1.0,1.0650865,2.04586783738913,-0.0007106938568488644,-0.06016432678517555,3.1937899589538574
1.0,tensor(1.),,0.0,0.3478621146550365,0.29702992763283603,2.0481204679783653,0.29702992763283603,,1.0,-1437.2384033203125,-93.6312026977539,0.009803921915590763,1.0506406,1.9611745624434092,0.001305483580274112,-0.05452471340583574,3.1886067390441895
