model_returned_smth,valid_cf_disc,dissimilarity_proximity_categorical_hamming,dissimilarity_proximity_categorical_jaccard,dissimilarity_proximity_continuous_manhatan,dissimilarity_proximity_continuous_euclidean,dissimilarity_proximity_continuous_mad,distance_l2_jaccard,distance_mad_hamming,sparsity,time
1.0,tensor(0.0438),1.0,1.0,0.18849818409199404,0.18844356575674975,1.0781856799687226,1.1884435657567498,2.0781856799687226,1.0,1.5630862712860107
1.0,tensor(0.0614),1.0,1.0,0.30851956967588984,0.3081069683638445,2.104978796776482,1.3081069683638444,3.104978796776482,1.0,1.5872998237609863
1.0,tensor(0.0491),1.0,1.0,0.19599261339510102,0.19573050098024528,1.1128713098293712,1.1957305009802452,2.112871309829371,1.0,1.541029453277588
1.0,tensor(0.0441),1.0,1.0,0.2288517698537067,0.22613729252380574,1.3977016811599405,1.2261372925238057,2.3977016811599405,1.0,1.3551340103149414
1.0,tensor(0.0413),1.0,1.0,0.24006933796249896,0.2369485457856128,1.4634421524350478,1.2369485457856129,2.463442152435048,1.0,1.3369874954223633
