"Id","Creation Time","Tags","parameters/method","parameters/disc_model/model_name","parameters/dataset","parameters/counterfactuals/K","metrics/cf/K_vectors","parameters/counterfactuals/origin_class","metrics/cf/valid_cf_disc","metrics/cf/flow_prob_condition_acc","metrics/cf/cf_belongs_to_group","metrics/cf/plausibility","metrics/cf/flow_log_density_cfs","metrics/cf/dissimilarity_proximity_continuous_euclidean","metrics/cf/dissimilarity_proximity_continuous_manhatan","metrics/cf/isolation_forest_scores_cfs","metrics/cf/lof_scores_cfs"
"COUN-7232","2024-05-19 14:01:50","[""plausability"",""k_ablation"",""GCE"",""19.05"",""Q1_log_prob_threshold""]","GCE","LogisticRegression","LawDataset","100","73.0","1","1.0","1.0","1.0","0.041234509360044316","2.125685930252075","0.21873836150610781","0.3580505449687485","0.06129757381328172","1.0278408527374268"
"COUN-7231","2024-05-19 14:01:31","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","100","15.0","2","1.0","1.0","1.0","0.010989416232902014","2.9735817909240723","0.6449073647956982","0.8854538445011713","0.02532122129952568","1.037096381187439"
"COUN-7230","2024-05-19 14:01:19","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","90","14.0","2","1.0","0.9800000190734863","1.0","0.011827983956534855","2.974757671356201","0.6655269266128664","0.9155358530418016","0.027812193964150963","1.0367240905761719"
"COUN-7229","2024-05-19 14:01:07","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","80","14.0","2","1.0","1.0","1.0","0.011737225556674759","3.019512891769409","0.6659933950917598","0.9171186198131182","0.031574015965208896","1.031557321548462"
"COUN-7228","2024-05-19 14:00:35","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","70","11.0","2","1.0","1.0","1.0","0.011212105069621881","3.0148115158081055","0.6510804846853668","0.8933698598877526","0.027628776941537918","1.0305290222167969"
"COUN-7227","2024-05-19 14:00:19","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","60","10.0","2","1.0","0.9800000190734863","1.0","0.011996854155103296","2.9469950199127197","0.6629591844844615","0.906655961109791","0.0236404330643737","1.034236192703247"
"COUN-7226","2024-05-19 13:59:51","[""plausability"",""k_ablation"",""GCE"",""19.05"",""Q1_log_prob_threshold""]","GCE","LogisticRegression","LawDataset","90","61.0","1","1.0","1.0","1.0","0.04169361312125469","2.144103527069092","0.21607795443822453","0.3526136301523816","0.0625410049979482","1.0290319919586182"
"COUN-7225","2024-05-19 13:59:44","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","50","9.0","2","1.0","1.0","1.0","0.010615779624131017","2.994598388671875","0.6409996786811317","0.8819175441400148","0.027199481983794314","1.0353240966796875"
"COUN-7224","2024-05-19 13:58:49","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","40","11.0","2","1.0","0.9900000095367432","0.99","0.011256410316674037","2.8881049156188965","0.6406904636247996","0.8775007785693743","0.017416167070673828","1.0466028451919556"
"COUN-7223","2024-05-19 13:58:40","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","30","7.0","2","1.0","0.9800000190734863","1.0","0.011333131101334411","2.979621648788452","0.6646846373624772","0.9118338663713075","0.027315075364006135","1.0368878841400146"
"COUN-7222","2024-05-19 13:58:31","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","20","6.0","2","1.0","1.0","1.0","0.011416793076877046","2.997098922729492","0.6702720823830542","0.9229111836687661","0.02964483168332145","1.0344864130020142"
"COUN-7221","2024-05-19 13:58:23","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","10","6.0","2","1.0","1.0","1.0","0.010280228556576641","2.9930646419525146","0.652622781660385","0.8976755179301835","0.027756043962823655","1.034703254699707"
"COUN-7220","2024-05-19 13:58:05","[""plausability"",""k_ablation"",""GCE"",""19.05"",""Q1_log_prob_threshold""]","GCE","LogisticRegression","LawDataset","80","60.0","1","1.0","1.0","1.0","0.040693440226664976","2.138848304748535","0.22271749188000162","0.36610907540384646","0.06245477073811094","1.032037615776062"
"COUN-7219","2024-05-19 13:56:54","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","8","5.0","2","1.0","0.949999988079071","0.97","0.011922396611608219","2.7356154918670654","0.6593094398830541","0.9056082348362543","0.009574941564457885","1.0603526830673218"
"COUN-7218","2024-05-19 13:56:45","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","6","5.0","2","1.0","0.9700000286102295","1.0","0.011963767812211534","2.903092384338379","0.6580556149650524","0.9042484317556955","0.023620265466649318","1.042093276977539"
"COUN-7217","2024-05-19 13:56:36","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","4","4.0","2","1.0","0.9100000262260437","1.0","0.01277770442314536","2.817185401916504","0.6469153603857554","0.8900769452587701","0.018250393882035577","1.0492494106292725"
"COUN-7216","2024-05-19 13:56:26","[""plausability"",""k_ablation"",""GCE"",""19.05"",""Q1_log_prob_threshold""]","GCE","LogisticRegression","LawDataset","70","52.0","1","1.0","1.0","1.0","0.041652037280884895","2.1276676654815674","0.22427800552660526","0.3697680302162086","0.060542693086574104","1.02791428565979"
"COUN-7215","2024-05-19 13:56:23","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","2","2.0","2","1.0","0.9300000071525574","1.0","0.014613606372475205","2.7862555980682373","0.6397497558325567","0.8793780819908715","0.016861477517834487","1.0494381189346313"
