model_returned_smth,valid_cf_disc,dissimilarity_proximity_categorical_hamming,dissimilarity_proximity_categorical_jaccard,dissimilarity_proximity_continuous_manhatan,dissimilarity_proximity_continuous_euclidean,dissimilarity_proximity_continuous_mad,distance_l2_jaccard,distance_mad_hamming,sparsity,flow_log_density_cfs,flow_log_density_xs,flow_prob_condition_acc,lof_scores_xs,lof_scores_cfs,isolation_forest_scores_xs,isolation_forest_scores_cfs,plausibility,cf_belongs_to_group,K_vectors,time
1.0,1.0,,0.0,0.3600564834475517,0.2546443987844415,8.592405874729156,0.2546443987844415,,1.0,-1.2174681425094604,2.5589895248413086,0.0,1.081245,1.6934557,0.021507187379467187,-0.05054291021291512,0.04222184792202551,1.0,100,7.267756938934326
1.0,1.0,,0.0,0.35087881833314893,0.24813405275195774,7.991869292259216,0.24813405275195774,,1.0,-0.0753711387515068,2.505185604095459,0.0,1.1143454,1.6132125,0.013987607671406286,-0.048643807071333055,0.04992496148066348,1.0,100,7.249886989593506
1.0,1.0,,0.0,0.3994076187067693,0.282525442501389,9.291943198383445,0.282525442501389,,1.0,-1.006386637687683,2.4909613132476807,0.0,1.107103,1.5890586,0.007489403892622229,-0.035846893364955994,0.04154060777850657,1.0,101,7.113779306411743
1.0,1.0,,0.0,0.35758687734603883,0.25290241359419224,7.878562281131744,0.25290241359419224,,1.0,-0.6793240904808044,2.6214258670806885,0.0,1.0952984,1.4640118,0.012918845939383947,-0.04623144926697363,0.07276847847356924,1.0,100,7.2154271602630615
1.0,1.0,,0.0,0.33306176915313257,0.23556062875018074,7.627350212347628,0.23556062875018074,,1.0,-1.6955914497375488,2.654728412628174,0.0,1.0883455,1.5207708,0.020116170263849476,-0.0520604295671876,0.09066280943718717,1.0,99,7.217363119125366
