"Id","Creation Time","Tags","parameters/method","parameters/disc_model/model_name","parameters/dataset","metrics/cf/K_vectors","parameters/counterfactuals/origin_class","metrics/cf/valid_cf_disc","metrics/cf/flow_prob_condition_acc","metrics/cf/cf_belongs_to_group","metrics/cf/plausibility","metrics/cf/flow_log_density_cfs","metrics/cf/dissimilarity_proximity_continuous_euclidean","metrics/cf/dissimilarity_proximity_continuous_manhatan","metrics/cf/isolation_forest_scores_cfs","metrics/cf/lof_scores_cfs","parameters/counterfactuals/alpha","parameters/counterfactuals/alpha_k","parameters/counterfactuals/alpha_s"
"COUN-8701","2024-05-19 22:35:52","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultilayerPerceptron","WineDataset","1.0","2","1.0","1.0","1.0","0.6181463614738536","6.888011932373047","0.6953790064557899","2.2284071227069946","0.05470442730896243","1.0704388618469238","100","1000","1"
"COUN-8717","2024-05-19 22:39:12","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultilayerPerceptron","WineDataset","1.0","2","1.0","1.0","1.0","0.6065020517800292","6.806581020355225","0.7122846048579918","2.2883229514118284","0.05464600933292315","1.0660066604614258","1000","100","1"
"COUN-8716","2024-05-19 22:38:50","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultilayerPerceptron","WineDataset","2.0","2","1.0","1.0","0.8","0.6021760713016941","7.566854953765869","0.6795939566361275","2.1979963754769414","0.05848915544604198","1.0595378875732422","1000","10","1"
"COUN-8461","2024-05-19 21:38:24","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultinomialLogisticRegression","WineDataset","5.0","1","1.0","1.0","1.0","0.4731120364687858","8.201555252075195","0.7496655936296899","2.3692705586020435","0.05998227296486358","1.037522554397583","1000","1000","1000"
"COUN-8442","2024-05-19 21:30:33","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultinomialLogisticRegression","WineDataset","9.0","1","1.0","1.0","1.0","0.48610723269960326","8.754722595214844","0.6383412529761399","2.0058464469122037","0.07359708378672804","1.0388290882110596","100","10","1000"
"COUN-8415","2024-05-19 21:21:45","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultinomialLogisticRegression","WineDataset","8.0","1","1.0","1.0","0.8571428571428571","0.49089033817516464","8.788540840148926","0.6236882992385884","1.9319851039243596","0.0732671456452196","1.0345100164413452","10","1","10"
"COUN-8389","2024-05-19 21:15:46","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultinomialLogisticRegression","WineDataset","8.0","0","1.0","1.0","1.0","0.5639443245591795","7.856054782867432","0.5945377890317388","1.989936020380507","0.06303557670437228","1.0409170389175415","1000","1","1000"
"COUN-8388","2024-05-19 21:15:35","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultinomialLogisticRegression","WineDataset","1.0","0","1.0","1.0","1.0","0.5159233444557948","8.488054275512695","0.6789157022115134","2.2287704505336783","0.07152832583042373","1.0185880661010742","1000","1000","100"
"COUN-8358","2024-05-19 21:09:34","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultinomialLogisticRegression","WineDataset","2.0","0","1.0","1.0","0.9166666666666666","0.5404754690607202","8.194350242614746","0.584398704305284","1.8817076672179003","0.06845813121916394","1.0312224626541138","100","1","1"
"COUN-8226","2024-05-19 20:20:23","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultilayerPerceptron","BlobsDataset","5.0","1","1.0","1.0","0.98","0.011519384529182122","2.9449691772460938","0.4360368112769082","0.6082042065262795","0.03872651438328693","1.0375829935073853","1000","100","100"
