"Id","Creation Time","Tags","parameters/disc_model/model_name","parameters/dataset","parameters/counterfactuals/origin_class","metrics/cf/K_vectors","metrics/cf/valid_cf_disc","metrics/cf/flow_prob_condition_acc","metrics/cf/cf_belongs_to_group","parameters/experiment/relabel_with_disc_model","metrics/cf/flow_log_density_cfs","metrics/cf/dissimilarity_proximity_continuous_euclidean","metrics/cf/dissimilarity_proximity_continuous_manhatan","metrics/cf/isolation_forest_scores_cfs","metrics/cf/lof_scores_cfs"
"COUN-5489","2024-05-14 00:04:01","[""plausability"",""OUR"",""GLOBAL_PPCEF"",""exp_v7""]","MultilayerPerceptron","MoonsDataset","0","8.0","0.9696969985961914","0.6875","0.9848484848484849","true","1.3436063528060913","0.5495336639440958","0.7490613776935788","0.016212824491532024","1.1002898216247559"
"COUN-5488","2024-05-14 00:03:47","[""GLOBAL_PPCEF"",""OUR"",""plausability"",""exp_v7""]","MultinomialLogisticRegression","BlobsDataset","0","5.0","1.0","0.8700000047683716","0.99","true","3.0578582286834717","0.42461878981266993","0.5945733091235161","0.03487184562950525","1.0265436172485352"
"COUN-5487","2024-05-14 00:03:32","[""plausability"",""OUR"",""GLOBAL_PPCEF"",""exp_v7""]","LogisticRegression","MoonsDataset","0","7.0","1.0","0.5222222208976746","1.0","true","1.2693419456481934","0.49479360500256564","0.6864366408670322","0.009357696953393583","1.148854374885559"
"COUN-5475","2024-05-13 23:33:52","[""plausability"",""GLOBAL_PPCEF"",""GLOBAL_CE"",""exp_v7""]","MultilayerPerceptron","WineDataset","2","1.0","1.0","0.27272728085517883","1.0","true","7.222936630249023","0.7617908022463062","2.383615525397049","0.05045510124009935","1.0500736236572266"
"COUN-5474","2024-05-13 23:33:30","[""plausability"",""GLOBAL_PPCEF"",""GLOBAL_CE"",""exp_v7""]","MultilayerPerceptron","WineDataset","1","1.0","0.699999988079071","0.1428571492433548","1.0","true","4.435266017913818","0.5593342514510108","1.6080896481871605","0.04455854802892891","1.119961142539978"
"COUN-5473","2024-05-13 23:33:23","[""plausability"",""GLOBAL_PPCEF"",""GLOBAL_CE"",""exp_v7""]","MultilayerPerceptron","WineDataset","0","1.0","0.9285714030265808","0.4615384638309479","1.0","true","8.029123306274414","0.7470387178485883","2.3889827294131885","0.05527025368291138","1.0754523277282715"
"COUN-5472","2024-05-13 23:33:16","[""plausability"",""GLOBAL_PPCEF"",""GLOBAL_CE"",""exp_v7""]","MultinomialLogisticRegression","WineDataset","2","1.0","1.0","0.30000001192092896","1.0","true","7.910805702209473","0.8149140795335279","2.5077727613504974","0.0569273902564162","1.05001962184906"
"COUN-5471","2024-05-13 23:33:10","[""plausability"",""GLOBAL_PPCEF"",""GLOBAL_CE"",""exp_v7""]","MultinomialLogisticRegression","WineDataset","1","1.0","1.0","0.0","1.0","true","0.1943100541830063","0.6632049801410289","2.1276224505688464","0.015661421354559175","1.2234433889389038"
"COUN-5470","2024-05-13 23:33:05","[""plausability"",""GLOBAL_PPCEF"",""GLOBAL_CE"",""exp_v7""]","MultinomialLogisticRegression","WineDataset","0","1.0","1.0","0.5833333134651184","1.0","true","8.930168151855469","0.7227392375410567","2.2842869089605906","0.06938875451799659","1.0173717737197876"
"COUN-5469","2024-05-13 23:32:50","[""plausability"",""GLOBAL_PPCEF"",""GLOBAL_CE"",""exp_v7""]","MultilayerPerceptron","BlobsDataset","2","1.0","1.0","0.7200000286102295","1.0","true","2.8523242473602295","0.6428511958073843","0.884676587714348","0.01909053110964044","1.049766182899475"
"COUN-5468","2024-05-13 23:32:31","[""plausability"",""GLOBAL_PPCEF"",""GLOBAL_CE"",""exp_v7""]","MultilayerPerceptron","BlobsDataset","1","1.0","1.0","0.7099999785423279","1.0","true","2.821021318435669","0.4193569032252747","0.5881200256943703","0.031587667427584315","1.0618922710418701"
"COUN-5467","2024-05-13 23:32:13","[""plausability"",""GLOBAL_PPCEF"",""GLOBAL_CE"",""exp_v7""]","MultilayerPerceptron","BlobsDataset","0","1.0","1.0","0.8299999833106995","1.0","true","2.910491704940796","0.41748303168954687","0.586457849740982","0.02875658562615082","1.0375491380691528"
"COUN-5466","2024-05-13 23:31:58","[""plausability"",""GLOBAL_PPCEF"",""GLOBAL_CE"",""exp_v7""]","MultinomialLogisticRegression","BlobsDataset","2","1.0","1.0","0.7300000190734863","1.0","true","2.9031882286071777","0.6476426542703078","0.8913550211326219","0.022049994882054603","1.0437276363372803"
"COUN-5465","2024-05-13 23:31:41","[""plausability"",""GLOBAL_PPCEF"",""GLOBAL_CE"",""exp_v7""]","MultinomialLogisticRegression","BlobsDataset","1","1.0","1.0","0.6700000166893005","1.0","true","2.805328130722046","0.42631631832248745","0.5976258870959282","0.03334529587939508","1.0614349842071533"
"COUN-5464","2024-05-13 23:31:23","[""plausability"",""GLOBAL_PPCEF"",""GLOBAL_CE"",""exp_v7""]","MultinomialLogisticRegression","BlobsDataset","0","1.0","1.0","0.8299999833106995","1.0","true","2.9433939456939697","0.4177771361911134","0.5862229219079018","0.02946124658311906","1.034330129623413"
"COUN-5463","2024-05-13 23:30:36","[""exp_v7"",""plausability"",""GLOBAL_CE"",""GLOBAL_PPCEF""]","MultilayerPerceptron","LawDataset","1","1.0","0.7798507213592529","0.7559808492660522","1.0","true","1.760095477104187","0.260902524202562","0.44375168022356537","0.05332059868844195","1.041300654411316"
"COUN-5462","2024-05-13 23:30:11","[""exp_v7"",""plausability"",""GLOBAL_CE"",""GLOBAL_PPCEF""]","LogisticRegression","LawDataset","1","1.0","1.0","0.7743362784385681","1.0","true","1.9194179773330688","0.20378401564853632","0.33515078292961803","0.05763770483978004","1.0403367280960083"
"COUN-5461","2024-05-13 23:29:36","[""exp_v7"",""plausability"",""GLOBAL_CE"",""GLOBAL_PPCEF""]","MultilayerPerceptron","LawDataset","0","1.0","0.8715083599090576","0.6730769276618958","1.0","true","1.7724359035491943","0.24760186343995508","0.42037587541227156","0.04212951990901647","1.066732406616211"
"COUN-5460","2024-05-13 23:29:15","[""exp_v7"",""plausability"",""GLOBAL_CE"",""GLOBAL_PPCEF""]","LogisticRegression","LawDataset","0","1.0","0.9908257126808167","0.6944444179534912","1.0","true","1.8100476264953613","0.2161948129663387","0.37124993020875585","0.04398428477755271","1.0673795938491821"
"COUN-5459","2024-05-13 23:28:59","[""exp_v7"",""plausability"",""GLOBAL_CE"",""GLOBAL_PPCEF""]","MultilayerPerceptron","MoonsDataset","1","1.0","0.9130434989929199","0.9444444179534912","1.0","true","1.4634089469909668","0.4939216698613054","0.6878081541212778","-0.007499104546866258","1.1844379901885986"
"COUN-5458","2024-05-13 23:28:45","[""exp_v7"",""plausability"",""GLOBAL_CE"",""GLOBAL_PPCEF""]","LogisticRegression","MoonsDataset","1","1.0","0.7739130258560181","0.43820226192474365","1.0","true","0.7883347868919373","0.37661886807238215","0.5291000800521186","0.007206020970249691","1.2027342319488525"
"COUN-5457","2024-05-13 23:28:25","[""exp_v7"",""plausability"",""GLOBAL_CE"",""GLOBAL_PPCEF""]","MultilayerPerceptron","MoonsDataset","0","1.0","0.9384615421295166","0.44262295961380005","1.0","true","0.7860377430915833","0.46927986090769547","0.6377537762021005","-2.491083431619019E-4","1.2843890190124512"
"COUN-5456","2024-05-13 23:28:17","[""exp_v7"",""plausability"",""GLOBAL_CE"",""GLOBAL_PPCEF""]","LogisticRegression","MoonsDataset","0","1.0","1.0","0.15555556118488312","1.0","true","0.8395860195159912","0.41956034142801707","0.5875396193548416","-0.008959841958899381","1.360317349433899"
"COUN-5455","2024-05-13 23:27:37","[""exp_v7"",""plausability"",""GLOBAL_PPCEF"",""ARES""]","MultilayerPerceptron","WineDataset","2","1.0","1.0","0.09090909361839294","1.0","true","5.756645679473877","0.7293803026465852","2.2699185567061333","0.0430113536326016","1.0531569719314575"
"COUN-5454","2024-05-13 23:27:32","[""exp_v7"",""plausability"",""GLOBAL_PPCEF"",""ARES""]","MultilayerPerceptron","WineDataset","1","1.0","1.0","0.0","1.0","true","2.6000466346740723","0.41073776428032294","1.1580275056714362","0.04364471666877796","1.142095923423767"
"COUN-5453","2024-05-13 23:27:26","[""exp_v7"",""plausability"",""GLOBAL_PPCEF"",""ARES""]","MultilayerPerceptron","WineDataset","0","1.0","0.7857142686843872","0.3636363744735718","1.0","true","5.356799602508545","0.8299819341378935","2.6450082558122547","0.04295623348593414","1.076296091079712"
"COUN-5452","2024-05-13 23:27:22","[""exp_v7"",""plausability"",""GLOBAL_PPCEF"",""ARES""]","MultinomialLogisticRegression","WineDataset","2","1.0","1.0","0.10000000149011612","1.0","true","6.425332069396973","0.7721886348535572","2.4875832927878947","0.05134679818157165","1.0576361417770386"
